% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0000715,"nucleotide-excision repair, DNA damage recognition",0.033%,-2.5376,0.723,0.000,"nucleotide-excision repair, DNA damage recognition"
GO:0032784,"regulation of DNA-templated transcription, elongation",0.150%,-0.8821,0.798,0.287,"nucleotide-excision repair, DNA damage recognition"
GO:0000278,"mitotic cell cycle",0.561%,-0.4114,0.842,0.470,"nucleotide-excision repair, DNA damage recognition"
GO:0031297,"replication fork processing",0.017%,-1.1752,0.895,0.489,"nucleotide-excision repair, DNA damage recognition"
GO:0006294,"nucleotide-excision repair, preincision complex assembly",0.001%,-1.0550,0.767,0.576,"nucleotide-excision repair, DNA damage recognition"
GO:0042542,"response to hydrogen peroxide",0.029%,-0.3914,0.864,0.619,"nucleotide-excision repair, DNA damage recognition"
GO:0035457,"cellular response to interferon-alpha",0.002%,-1.4989,0.867,0.471,"nucleotide-excision repair, DNA damage recognition"
GO:0075733,"intracellular transport of virus",0.006%,-0.6289,0.872,0.643,"nucleotide-excision repair, DNA damage recognition"
GO:0006369,"termination of RNA polymerase II transcription",0.015%,-0.6388,0.900,0.438,"nucleotide-excision repair, DNA damage recognition"
GO:0006366,"transcription from RNA polymerase II promoter",1.430%,-0.3631,0.874,0.372,"nucleotide-excision repair, DNA damage recognition"
GO:1904535,"positive regulation of telomeric loop disassembly",0.000%,-2.0362,0.712,0.690,"nucleotide-excision repair, DNA damage recognition"
GO:0070208,"protein heterotrimerization",0.003%,-1.1618,0.872,0.432,"nucleotide-excision repair, DNA damage recognition"
GO:0006359,"regulation of transcription from RNA polymerase III promoter",0.033%,-1.1107,0.815,0.151,"nucleotide-excision repair, DNA damage recognition"
GO:0044839,"cell cycle G2/M phase transition",0.054%,-0.6444,0.853,0.676,"nucleotide-excision repair, DNA damage recognition"
GO:0032355,"response to estradiol",0.009%,-0.3394,0.876,0.670,"nucleotide-excision repair, DNA damage recognition"
GO:0050830,"defense response to Gram-positive bacterium",0.013%,-0.8564,0.881,0.347,"nucleotide-excision repair, DNA damage recognition"
GO:0006338,"chromatin remodeling",0.137%,-0.3513,0.858,0.571,"nucleotide-excision repair, DNA damage recognition"
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",0.146%,-1.0448,0.904,0.212,"nucleotide-excision repair, DNA damage recognition"
